Identifier,Has Disorder,Crystal different to Crystallographer Drawing (including Hydrogens),Crystal different to Crystallographer Drawing (excluding Hydrogens),Is Total Charge 0,Is Total Multiplicity 1
ASUYUL,False,True,True,True,True
ASUZAS,False,True,True,True,True
ASUZEW,False,True,True,True,True
ATARUI,False,True,True,True,True
ATARUI01,False,True,True,True,True
ATARUI02,False,True,True,True,True
ATEHUC01,False,True,True,True,True
ATELER,False,True,True,True,True
ATELIV,True,True,True,True,True
ATILAT,False,True,True,True,True
ATIXOQ,False,True,True,True,True
ATOKIG,False,True,True,True,True
ATOLON,True,True,True,True,True
ATOMED,False,False,False,True,True
ATOWIR,True,True,True,True,True
ATOWUD,False,True,True,True,True
ATUFUS,True,True,True,True,True
ATULEH,False,True,True,True,True
AVIBEN,False,True,True,True,True
AVUNUB,False,True,True,True,True
AVUWOG,False,True,True,True,True
AWASUM,True,True,True,True,True
AWASUM01,True,True,True,True,True
AWEYEH,True,True,True,True,True
AWIGOF,True,True,True,True,True
AWIGUL,False,False,False,True,True
AWIPOO,False,True,True,True,True
AWIZOX,True,True,True,True,True
AWUGUX,False,True,True,True,True
AWUHAE,False,True,True,True,True
AWUHEI,False,True,True,True,True
AWUPIU,False,True,True,True,True
AWUPIU01,False,True,True,True,True
AWUQEQ,False,False,False,True,True
AWUWAS,True,True,True,True,True
AWUWEW,False,True,True,True,True
AWUWIA,True,True,True,True,True
AWUWOG,True,True,True,True,True
AWUZOI,True,True,True,True,True
AXANAP,True,True,True,True,True
AXEQOM,False,True,True,True,True
AXIDER,False,True,True,True,True
AXODAS,False,True,True,True,True
AXODAS01,False,True,True,True,True
AXOMEG,False,True,True,True,True
AXOMIK,False,True,True,True,True
AXOMOQ,False,True,True,True,True
AXOROX,False,True,True,True,True
AXORUD,False,True,True,True,True
AXOSAK,False,True,True,True,True
AYARAW,True,False,False,True,True
AYAREA,False,False,False,True,True
AYESOO,True,True,True,True,True
AYIMUQ,False,True,True,True,True
AYINEE,True,True,True,True,True
AYOCIA,False,True,True,True,True
AYOTEO,False,True,True,True,True
AYUHUA,False,True,True,True,True
AYUJAI,True,True,True,True,True
AYUJEM,True,True,True,True,True
AZIVIQ,True,True,True,True,True
AZIVOW,False,True,True,True,True
AZIVUC,True,False,False,True,True
AZIWAJ,False,True,True,True,True
AZORUD,False,True,True,True,True
AZOXOF,False,True,True,True,True
AZOYIY,False,True,True,True,True
BABBAL,False,False,False,True,True
BABCEQ,False,True,True,True,True
BABHUK,True,True,True,True,True
BACHIZ,True,True,True,True,True
BACHOF,True,True,True,True,True
BACROQ,False,True,True,True,True
BACXOS01,False,True,True,True,True
BADFOB10,False,True,True,True,True
BAGKOM,True,True,True,True,True
BAGLON,False,False,False,True,True
BAJSIP,False,True,True,True,True
BALBUL,True,True,True,True,True
BALCAS,False,True,True,True,True
BALCEW,False,True,True,True,True
BALFIF,False,True,True,True,True
BALHON,False,True,True,True,True
BALHUT,False,True,True,True,True
BALLOT,True,True,True,True,True
BALNIP,True,True,True,True,True
BALVOA,False,True,True,True,True
BAMBUO,True,True,True,True,True
BAMCAV,False,True,True,True,True
BANCOJ,False,True,True,True,True
BAPTIZ,False,True,True,True,True
BAQNOX,False,True,True,True,True
BARVUP,False,True,True,True,True
BARWAW,False,True,True,True,True
BARWEA,False,True,True,True,True
BARWEA01,False,True,True,True,True
BARWEA02,False,True,True,True,True
BARWOK,False,True,True,True,True
BARWUQ,False,True,True,True,True
BARXAX,False,True,True,True,True
BARXEB,True,True,True,True,True
BARXIF,False,True,True,True,True
BARXOL,True,True,True,True,True
BARXOL01,False,True,True,True,True
BARXUR,True,True,True,True,True
BARYAY,True,True,True,True,True
BARYEC,False,True,True,True,True
BARYIG,True,True,True,True,True
BARYOM,True,True,True,True,True
BARYUS,True,True,True,True,True
BATLIS,False,True,True,True,True
BATPOF,False,True,True,True,True
BATPUL,False,True,True,True,True
BATQAS,False,True,True,True,True
